region,type_etablissement,filiere,niveau_etude,moyenne_semestre_1,moyenne_semestre_2,taux_absence,modules_non_valides,participation,bourse,distance_logement_km,acces_internet,activite_professionnelle,historique_redoublement,situation_academique,decrochage
Laâyoune-Sakia El Hamra,IUT,INFORMATIQUE,M1,15.39,17.31,3.4,1,MOYENNE,NON,40.7,OUI,OUI,OUI,NORMALE,0
Drâa-Tafilalet,FACULTE,MEDECINE,M1,14.35,13.3,11.1,6,MOYENNE,OUI,11.3,OUI,OUI,NON,NORMALE,0
Drâa-Tafilalet,ECOLE_INGENIEUR,SCIENCES,M1,12.14,11.94,1.4,6,MOYENNE,NON,4.1,NON,OUI,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,FACULTE,ECONOMIE,M1,15.19,15.05,21.4,1,MOYENNE,NON,33.4,NON,OUI,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,MEDECINE,M2,17.86,16.47,10.3,7,MOYENNE,OUI,23.3,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,M1,12.25,10.85,11.6,1,MOYENNE,OUI,19.9,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,FACULTE,DROIT,L1,17.33,17.02,19.3,6,FAIBLE,OUI,11.9,OUI,NON,NON,NORMALE,0
Fès-Meknès,UNIVERSITE_PRIVEE,LETTRES,L1,10.81,9.66,16.2,3,FAIBLE,NON,16.4,OUI,NON,OUI,NORMALE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,MEDECINE,L3,9.72,11.49,24.1,0,ELEVEE,OUI,7.1,NON,OUI,OUI,NORMALE,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,LETTRES,M1,9.23,8.36,9.2,1,MOYENNE,NON,25.5,NON,NON,NON,NORMALE,0
Souss-Massa,UNIVERSITE_PRIVEE,MEDECINE,M1,12.46,14.77,5.9,2,MOYENNE,OUI,19.1,OUI,NON,NON,REORIENTATION,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,LETTRES,M2,11.05,13.14,3.8,3,MOYENNE,OUI,13.0,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,DROIT,L2,14.21,14.59,20.2,3,FAIBLE,NON,23.5,OUI,NON,NON,NORMALE,0
Drâa-Tafilalet,FACULTE,INGENIERIE,M2,11.89,11.71,12.5,7,MOYENNE,OUI,6.6,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,IUT,ECONOMIE,L2,12.18,11.03,30.0,1,FAIBLE,OUI,23.2,OUI,OUI,NON,DIFFICULTE,0
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L1,11.11,11.46,40.7,3,ELEVEE,OUI,1.3,OUI,OUI,NON,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,INFORMATIQUE,M1,12.66,14.2,6.6,1,MOYENNE,NON,2.1,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,FACULTE,ECONOMIE,M1,12.4,10.27,29.6,7,MOYENNE,NON,5.6,OUI,OUI,NON,REDOUBLEMENT,1
Drâa-Tafilalet,IUT,ECONOMIE,M1,12.19,11.91,6.6,7,ELEVEE,NON,11.2,OUI,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L3,10.02,10.73,29.4,1,ELEVEE,OUI,11.9,OUI,OUI,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PRIVEE,SCIENCES,L3,15.34,16.13,20.0,4,MOYENNE,NON,4.2,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,FACULTE,MEDECINE,M1,13.4,10.81,18.8,2,ELEVEE,NON,6.4,OUI,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,MEDECINE,L2,12.43,14.38,36.8,3,MOYENNE,NON,18.8,OUI,OUI,NON,REDOUBLEMENT,0
Oriental,FACULTE,SCIENCES,M1,12.9,11.9,34.7,3,ELEVEE,OUI,13.2,OUI,NON,NON,REDOUBLEMENT,0
Casablanca-Settat,ECOLE_INGENIEUR,INGENIERIE,M2,9.83,10.51,35.9,1,MOYENNE,NON,41.6,NON,OUI,NON,NORMALE,1
Drâa-Tafilalet,ECOLE_INGENIEUR,DROIT,L2,12.27,10.53,23.8,1,MOYENNE,NON,4.2,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L1,6.21,7.14,27.3,2,MOYENNE,OUI,21.9,NON,OUI,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,ECONOMIE,M2,11.3,11.16,23.4,4,MOYENNE,OUI,1.0,OUI,OUI,NON,NORMALE,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,LETTRES,L1,11.63,13.96,16.1,4,MOYENNE,NON,1.5,OUI,NON,OUI,DIFFICULTE,1
Oriental,UNIVERSITE_PRIVEE,INFORMATIQUE,L1,12.96,16.68,43.1,6,MOYENNE,OUI,7.0,NON,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INGENIERIE,M1,14.02,12.62,23.8,7,MOYENNE,OUI,6.6,NON,NON,NON,NORMALE,0
Drâa-Tafilalet,FACULTE,LETTRES,M1,13.76,14.92,8.1,0,MOYENNE,NON,24.2,OUI,OUI,NON,REDOUBLEMENT,0
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,LETTRES,M2,10.59,10.84,50.0,5,FAIBLE,NON,8.3,NON,OUI,OUI,NORMALE,1
Marrakech-Safi,FACULTE,INGENIERIE,L3,13.93,13.23,20.1,2,ELEVEE,OUI,6.7,OUI,NON,NON,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,INGENIERIE,M2,10.74,9.95,42.5,1,MOYENNE,NON,41.9,NON,NON,NON,REDOUBLEMENT,1
Fès-Meknès,FACULTE,DROIT,L1,12.47,11.6,17.9,0,MOYENNE,NON,9.5,OUI,OUI,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INGENIERIE,L2,11.81,12.93,28.4,6,MOYENNE,NON,7.0,OUI,OUI,NON,NORMALE,1
Marrakech-Safi,IUT,SCIENCES,M1,13.52,14.87,11.7,6,FAIBLE,OUI,4.5,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,MEDECINE,L1,14.3,15.49,7.6,2,MOYENNE,NON,4.7,NON,NON,NON,NORMALE,0
Marrakech-Safi,IUT,DROIT,L3,10.41,8.41,38.4,2,MOYENNE,NON,19.7,OUI,NON,NON,NORMALE,1
Casablanca-Settat,IUT,MEDECINE,L3,9.11,10.26,25.3,2,MOYENNE,OUI,66.7,OUI,OUI,NON,NORMALE,0
Marrakech-Safi,FACULTE,DROIT,M1,15.6,18.87,7.0,7,MOYENNE,NON,6.9,OUI,OUI,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,IUT,SCIENCES,L2,11.8,10.45,5.3,4,MOYENNE,OUI,30.4,OUI,NON,OUI,DIFFICULTE,0
Fès-Meknès,IUT,DROIT,L3,10.62,12.79,35.5,4,ELEVEE,OUI,3.8,NON,NON,NON,NORMALE,1
Casablanca-Settat,ECOLE_INGENIEUR,SCIENCES,M2,10.0,13.19,24.1,6,MOYENNE,OUI,10.3,OUI,NON,OUI,DIFFICULTE,0
Marrakech-Safi,FACULTE,INFORMATIQUE,M2,12.62,13.43,26.7,1,MOYENNE,NON,31.4,OUI,NON,NON,DIFFICULTE,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,MEDECINE,L1,9.95,10.74,10.5,4,FAIBLE,OUI,18.4,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,DROIT,L1,12.51,10.37,32.2,4,ELEVEE,OUI,9.5,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,FACULTE,ECONOMIE,M2,13.13,12.82,7.4,6,MOYENNE,NON,1.9,OUI,OUI,NON,NORMALE,0
Casablanca-Settat,ECOLE_INGENIEUR,INGENIERIE,L1,12.55,13.63,5.6,7,FAIBLE,OUI,26.1,NON,NON,OUI,NORMALE,1
Laâyoune-Sakia El Hamra,IUT,SCIENCES,L2,12.71,11.03,24.1,1,ELEVEE,OUI,1.7,OUI,NON,NON,DIFFICULTE,0
Casablanca-Settat,UNIVERSITE_PRIVEE,DROIT,M1,9.59,9.56,5.3,0,ELEVEE,NON,22.5,OUI,NON,NON,DIFFICULTE,0
Casablanca-Settat,ECOLE_INGENIEUR,LETTRES,L1,8.23,8.07,14.7,6,MOYENNE,NON,21.6,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,MEDECINE,M2,10.75,9.72,45.1,1,MOYENNE,NON,9.8,OUI,OUI,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,ECONOMIE,M2,13.51,15.03,28.7,2,FAIBLE,NON,21.4,NON,NON,NON,NORMALE,0
Casablanca-Settat,ECOLE_INGENIEUR,INFORMATIQUE,L3,13.58,13.77,39.9,4,ELEVEE,NON,3.7,OUI,OUI,NON,DIFFICULTE,0
Béni Mellal-Khénifra,FACULTE,ECONOMIE,M1,9.42,8.94,25.7,3,MOYENNE,NON,4.1,OUI,OUI,NON,REORIENTATION,1
Tanger-Tétouan-Al Hoceïma,IUT,INGENIERIE,M1,14.14,13.2,12.2,5,ELEVEE,NON,4.5,NON,NON,OUI,REDOUBLEMENT,0
Marrakech-Safi,FACULTE,INFORMATIQUE,M2,9.29,11.03,10.2,7,FAIBLE,NON,9.5,OUI,NON,NON,NORMALE,1
Souss-Massa,ECOLE_INGENIEUR,DROIT,L2,8.53,7.56,14.8,4,FAIBLE,OUI,6.9,OUI,NON,NON,NORMALE,0
Casablanca-Settat,ECOLE_INGENIEUR,DROIT,L2,8.88,10.87,34.0,1,MOYENNE,OUI,33.1,OUI,NON,NON,NORMALE,1
Fès-Meknès,UNIVERSITE_PRIVEE,LETTRES,M1,15.89,18.97,47.3,4,FAIBLE,NON,3.1,NON,NON,NON,NORMALE,0
Béni Mellal-Khénifra,IUT,INFORMATIQUE,M1,10.98,13.47,22.8,0,MOYENNE,OUI,6.2,OUI,NON,OUI,REDOUBLEMENT,0
Laâyoune-Sakia El Hamra,FACULTE,DROIT,M2,13.39,14.47,20.1,3,MOYENNE,NON,0.2,OUI,NON,OUI,DIFFICULTE,1
Oriental,IUT,INGENIERIE,L1,12.2,11.63,43.9,4,MOYENNE,OUI,1.5,OUI,NON,NON,NORMALE,1
Marrakech-Safi,ECOLE_INGENIEUR,ECONOMIE,L1,13.11,10.67,12.7,7,FAIBLE,OUI,0.2,OUI,OUI,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,INFORMATIQUE,L2,9.22,10.81,5.9,2,FAIBLE,NON,0.1,OUI,NON,OUI,REDOUBLEMENT,0
Casablanca-Settat,ECOLE_INGENIEUR,ECONOMIE,L3,5.58,5.03,11.5,1,ELEVEE,NON,1.8,OUI,NON,OUI,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,SCIENCES,M1,10.87,10.46,22.1,3,MOYENNE,NON,18.5,NON,NON,OUI,NORMALE,0
Rabat-Salé-Kénitra,IUT,MEDECINE,L1,10.67,9.96,15.6,4,MOYENNE,OUI,23.4,OUI,NON,NON,DIFFICULTE,0
Fès-Meknès,UNIVERSITE_PRIVEE,SCIENCES,L2,14.89,14.24,17.5,3,MOYENNE,NON,18.2,OUI,OUI,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,IUT,INGENIERIE,M1,9.98,8.56,48.4,6,FAIBLE,NON,19.0,OUI,NON,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,IUT,MEDECINE,L1,16.82,18.65,20.5,0,FAIBLE,NON,2.0,OUI,NON,NON,DIFFICULTE,0
Oriental,UNIVERSITE_PRIVEE,LETTRES,L1,8.95,7.46,17.3,4,ELEVEE,OUI,7.0,OUI,NON,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INGENIERIE,L1,10.61,10.63,5.7,6,MOYENNE,OUI,49.3,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,MEDECINE,M1,10.88,9.19,18.9,6,MOYENNE,NON,1.6,OUI,NON,OUI,NORMALE,0
Guelmim-Oued Noun,IUT,DROIT,L2,9.2,9.86,14.5,4,MOYENNE,NON,39.8,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,ECONOMIE,L1,9.73,9.23,10.8,4,ELEVEE,NON,6.1,NON,NON,NON,REORIENTATION,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,SCIENCES,M2,8.76,10.54,10.7,7,FAIBLE,NON,0.3,OUI,NON,NON,NORMALE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,MEDECINE,M2,14.79,16.05,9.2,5,FAIBLE,OUI,18.2,NON,NON,NON,NORMALE,0
Drâa-Tafilalet,IUT,MEDECINE,L2,11.95,9.71,4.2,4,ELEVEE,NON,25.7,NON,NON,NON,DIFFICULTE,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,SCIENCES,M1,6.31,7.33,9.4,6,MOYENNE,NON,2.0,OUI,NON,OUI,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,8.87,7.44,30.9,2,MOYENNE,NON,2.7,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,LETTRES,L2,14.59,12.99,13.3,5,MOYENNE,NON,3.2,OUI,OUI,NON,REDOUBLEMENT,1
Fès-Meknès,IUT,INFORMATIQUE,M2,8.99,9.47,11.0,5,FAIBLE,NON,19.2,NON,OUI,NON,NORMALE,1
Marrakech-Safi,FACULTE,MEDECINE,M1,8.74,10.54,9.2,4,MOYENNE,NON,8.0,OUI,OUI,OUI,REORIENTATION,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L2,9.7,9.54,19.0,6,ELEVEE,OUI,6.3,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INFORMATIQUE,L1,10.29,8.83,22.9,3,MOYENNE,NON,0.2,OUI,OUI,NON,REORIENTATION,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,ECONOMIE,L1,11.72,10.3,14.7,2,MOYENNE,OUI,4.7,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,FACULTE,MEDECINE,L1,11.71,10.73,32.9,5,MOYENNE,OUI,2.2,OUI,NON,OUI,DIFFICULTE,1
Béni Mellal-Khénifra,FACULTE,DROIT,L1,13.23,13.82,2.4,7,MOYENNE,NON,3.8,OUI,OUI,NON,NORMALE,0
Rabat-Salé-Kénitra,IUT,MEDECINE,M2,9.76,8.51,32.2,4,MOYENNE,NON,4.8,OUI,NON,NON,REDOUBLEMENT,1
Fès-Meknès,IUT,SCIENCES,L3,12.8,13.84,40.4,4,ELEVEE,NON,2.6,NON,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,MEDECINE,M2,5.09,4.73,22.5,5,MOYENNE,NON,2.0,OUI,OUI,NON,DIFFICULTE,1
Oriental,UNIVERSITE_PRIVEE,MEDECINE,L1,11.46,12.06,25.7,1,MOYENNE,NON,15.8,OUI,NON,OUI,REDOUBLEMENT,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,DROIT,L2,9.19,7.65,18.8,7,MOYENNE,NON,2.5,OUI,NON,NON,DIFFICULTE,1
Béni Mellal-Khénifra,FACULTE,INFORMATIQUE,M1,5.83,5.78,14.0,7,FAIBLE,OUI,8.5,OUI,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,MEDECINE,L3,10.65,12.7,28.6,2,MOYENNE,NON,16.0,OUI,NON,NON,REDOUBLEMENT,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,LETTRES,L3,12.65,13.21,15.1,7,MOYENNE,NON,5.6,OUI,NON,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,DROIT,L2,9.85,12.31,9.4,2,FAIBLE,OUI,0.9,OUI,NON,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PRIVEE,ECONOMIE,L1,14.26,14.05,47.2,5,MOYENNE,OUI,2.3,OUI,NON,NON,DIFFICULTE,1
Béni Mellal-Khénifra,FACULTE,DROIT,L2,15.63,15.74,12.6,5,FAIBLE,NON,21.9,NON,NON,NON,REDOUBLEMENT,0
Souss-Massa,FACULTE,ECONOMIE,M2,10.07,9.9,9.4,4,FAIBLE,NON,11.0,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PRIVEE,DROIT,L1,8.0,7.39,6.5,4,MOYENNE,NON,10.9,NON,NON,NON,REDOUBLEMENT,1
Marrakech-Safi,ECOLE_INGENIEUR,MEDECINE,M1,11.64,11.46,23.3,0,ELEVEE,OUI,4.5,OUI,OUI,NON,REORIENTATION,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,ECONOMIE,L3,9.63,6.07,7.0,5,MOYENNE,NON,7.4,OUI,NON,NON,REDOUBLEMENT,1
Fès-Meknès,UNIVERSITE_PRIVEE,DROIT,M2,13.02,10.35,16.7,5,MOYENNE,NON,5.3,NON,NON,NON,NORMALE,1
Oriental,IUT,MEDECINE,L3,16.98,16.51,8.6,5,FAIBLE,NON,14.0,OUI,NON,NON,REORIENTATION,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,DROIT,L2,10.13,7.47,10.9,2,FAIBLE,OUI,2.5,OUI,NON,NON,NORMALE,1
Oriental,UNIVERSITE_PRIVEE,INGENIERIE,M1,8.57,7.31,37.1,6,MOYENNE,NON,37.9,NON,NON,NON,NORMALE,1
Oriental,FACULTE,DROIT,L2,12.98,10.51,4.8,1,MOYENNE,OUI,8.8,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,FACULTE,SCIENCES,L3,11.83,13.21,43.1,2,ELEVEE,NON,27.3,NON,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,ECONOMIE,L1,7.52,7.31,20.4,5,ELEVEE,NON,14.0,OUI,OUI,NON,DIFFICULTE,1
Casablanca-Settat,IUT,LETTRES,M2,6.63,7.39,28.1,1,FAIBLE,NON,17.0,OUI,NON,NON,NORMALE,1
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,DROIT,M1,9.42,9.57,11.9,5,FAIBLE,OUI,6.3,OUI,NON,OUI,REORIENTATION,1
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,10.92,10.91,53.8,0,FAIBLE,OUI,9.8,OUI,NON,OUI,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,FACULTE,INGENIERIE,L2,11.8,12.03,9.2,7,MOYENNE,OUI,9.3,OUI,NON,OUI,DIFFICULTE,0
Fès-Meknès,ECOLE_INGENIEUR,LETTRES,L2,12.27,13.16,39.9,4,FAIBLE,NON,12.1,OUI,OUI,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,IUT,MEDECINE,L2,7.63,3.57,5.8,7,MOYENNE,OUI,18.8,OUI,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,FACULTE,MEDECINE,L1,10.69,10.39,23.5,4,MOYENNE,OUI,8.3,NON,OUI,NON,DIFFICULTE,1
Casablanca-Settat,IUT,INGENIERIE,L3,10.85,12.36,5.6,6,ELEVEE,OUI,4.2,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,ECONOMIE,L1,10.89,12.77,2.3,2,MOYENNE,OUI,40.6,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,INFORMATIQUE,L1,15.09,16.3,17.2,2,ELEVEE,NON,0.2,NON,NON,NON,DIFFICULTE,0
Souss-Massa,FACULTE,INGENIERIE,L1,13.2,12.64,4.6,4,MOYENNE,OUI,27.3,OUI,OUI,OUI,NORMALE,0
Oriental,IUT,ECONOMIE,L1,10.89,9.95,22.4,6,MOYENNE,NON,27.5,NON,NON,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,INGENIERIE,M2,11.46,11.84,14.4,7,ELEVEE,OUI,0.6,OUI,NON,OUI,DIFFICULTE,1
Fès-Meknès,ECOLE_INGENIEUR,DROIT,L3,10.06,10.27,56.2,5,MOYENNE,OUI,9.0,OUI,OUI,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,IUT,MEDECINE,L1,8.28,5.34,13.7,5,MOYENNE,OUI,15.7,NON,OUI,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,FACULTE,MEDECINE,M2,11.53,12.03,5.6,6,ELEVEE,OUI,12.4,OUI,OUI,NON,NORMALE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,DROIT,M1,10.87,8.31,15.7,3,MOYENNE,OUI,16.5,OUI,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,FACULTE,DROIT,L2,15.17,17.81,18.3,6,ELEVEE,NON,5.2,OUI,NON,NON,NORMALE,0
Oriental,FACULTE,INGENIERIE,M1,15.05,16.04,4.5,6,ELEVEE,NON,28.9,OUI,NON,NON,NORMALE,1
Rabat-Salé-Kénitra,UNIVERSITE_PUBLIQUE,INFORMATIQUE,M1,9.48,8.97,10.8,6,MOYENNE,NON,1.8,OUI,NON,OUI,NORMALE,0
Dakhla-Oued Ed-Dahab,IUT,SCIENCES,M2,9.53,7.22,6.3,4,FAIBLE,NON,11.5,OUI,NON,NON,NORMALE,1
Oriental,FACULTE,DROIT,L3,10.08,11.55,14.8,2,FAIBLE,NON,3.8,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,INFORMATIQUE,M1,10.18,10.3,34.9,7,FAIBLE,NON,9.2,OUI,NON,NON,NORMALE,0
Oriental,ECOLE_INGENIEUR,LETTRES,M2,13.07,10.37,29.0,2,MOYENNE,NON,7.2,OUI,NON,OUI,REDOUBLEMENT,0
Tanger-Tétouan-Al Hoceïma,IUT,INFORMATIQUE,M1,15.76,16.87,24.1,3,FAIBLE,OUI,12.6,OUI,OUI,OUI,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,DROIT,L1,15.51,16.98,3.4,0,FAIBLE,NON,5.0,NON,NON,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PRIVEE,SCIENCES,L1,14.43,13.49,11.7,7,FAIBLE,OUI,13.9,OUI,OUI,NON,NORMALE,0
Fès-Meknès,ECOLE_INGENIEUR,ECONOMIE,M1,13.19,12.41,14.4,0,MOYENNE,NON,2.0,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,DROIT,L1,15.22,15.17,40.6,4,MOYENNE,NON,6.3,NON,OUI,OUI,NORMALE,1
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,L1,15.92,16.89,4.3,6,MOYENNE,NON,1.2,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,DROIT,M1,7.63,8.2,39.6,0,ELEVEE,OUI,7.0,NON,NON,NON,NORMALE,0
Fès-Meknès,ECOLE_INGENIEUR,SCIENCES,L3,7.67,9.2,23.2,1,MOYENNE,NON,5.6,OUI,NON,NON,REORIENTATION,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,INGENIERIE,M2,12.16,9.96,26.7,5,ELEVEE,OUI,5.0,OUI,OUI,NON,REDOUBLEMENT,1
Oriental,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,11.06,15.41,16.9,4,MOYENNE,NON,38.4,NON,OUI,NON,DIFFICULTE,0
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,SCIENCES,L1,9.68,9.32,4.7,2,FAIBLE,OUI,43.3,OUI,OUI,NON,NORMALE,0
Drâa-Tafilalet,UNIVERSITE_PRIVEE,DROIT,L2,9.47,7.99,14.2,6,MOYENNE,OUI,1.2,NON,OUI,NON,REDOUBLEMENT,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,12.1,15.79,26.6,2,MOYENNE,NON,12.0,OUI,NON,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,LETTRES,L2,11.08,11.43,19.6,0,MOYENNE,NON,2.2,OUI,OUI,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,FACULTE,DROIT,M2,10.11,8.3,53.0,7,FAIBLE,OUI,3.3,OUI,NON,OUI,NORMALE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,INFORMATIQUE,L1,10.93,12.37,17.7,2,ELEVEE,NON,8.9,OUI,OUI,NON,REDOUBLEMENT,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L1,6.21,5.89,3.1,2,FAIBLE,OUI,7.9,OUI,NON,NON,REORIENTATION,1
Laâyoune-Sakia El Hamra,IUT,ECONOMIE,M2,11.33,14.11,8.1,6,MOYENNE,OUI,1.6,OUI,OUI,NON,DIFFICULTE,0
Marrakech-Safi,FACULTE,ECONOMIE,L1,12.16,12.34,26.0,7,MOYENNE,OUI,64.3,OUI,OUI,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,FACULTE,SCIENCES,L2,10.57,11.37,13.6,4,FAIBLE,NON,7.2,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,SCIENCES,M2,8.82,8.86,14.1,7,MOYENNE,NON,0.9,NON,NON,NON,REDOUBLEMENT,1
Fès-Meknès,ECOLE_INGENIEUR,DROIT,L1,8.45,9.97,25.5,5,ELEVEE,OUI,45.2,OUI,NON,NON,REORIENTATION,1
Marrakech-Safi,FACULTE,LETTRES,L1,12.19,13.24,12.6,1,ELEVEE,OUI,19.6,OUI,NON,OUI,NORMALE,0
Béni Mellal-Khénifra,ECOLE_INGENIEUR,SCIENCES,M2,11.08,12.65,9.4,6,FAIBLE,OUI,12.7,OUI,OUI,NON,DIFFICULTE,1
Souss-Massa,FACULTE,INGENIERIE,L2,10.12,9.07,1.5,6,ELEVEE,NON,37.7,OUI,NON,NON,REDOUBLEMENT,1
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,ECONOMIE,L1,9.32,8.55,21.3,5,ELEVEE,OUI,26.9,OUI,NON,NON,NORMALE,1
Guelmim-Oued Noun,FACULTE,LETTRES,L1,12.15,12.01,11.2,5,ELEVEE,NON,17.5,OUI,NON,NON,REORIENTATION,0
Guelmim-Oued Noun,IUT,MEDECINE,L3,7.75,10.78,5.0,7,ELEVEE,OUI,28.4,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,ECONOMIE,M1,18.12,16.6,2.0,1,FAIBLE,NON,2.4,OUI,OUI,NON,REDOUBLEMENT,0
Casablanca-Settat,UNIVERSITE_PRIVEE,DROIT,L3,11.89,15.32,27.7,1,MOYENNE,OUI,7.8,OUI,NON,NON,REDOUBLEMENT,0
Oriental,IUT,INGENIERIE,L3,11.83,11.95,60.9,7,ELEVEE,NON,29.8,OUI,OUI,NON,NORMALE,1
