secteur_activite,region,age_demandeur,statut_professionnel,revenu_mensuel_mad,charges_mensuelles_mad,montant_demande_mad,duree_credit_mois,anciennete_professionnelle_annees,credits_existants,incidents_paiement_24_mois,ratio_endettement,type_garantie,type_credit,defaut_paiement
AGRICULTURE,Souss-Massa,43,SALARIE_CDI,8964,2425,42182,24,18,0,1,0.207,AUCUNE,CONSOMMATION,1
SERVICES,Casablanca-Settat,64,FONCTIONNAIRE,5888,3291,79911,12,45,0,3,0.617,CAUTION,CONSOMMATION,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,78,FONCTIONNAIRE,7692,1947,8507,120,45,4,0,0.202,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Fès-Meknès,63,FONCTIONNAIRE,18197,8103,36043,24,43,0,0,0.499,HYPOTHEQUE,CONSOMMATION,0
INDUSTRIE,Béni Mellal-Khénifra,36,RETRAITE,10838,6155,50140,84,11,2,3,0.627,AUCUNE,CONSOMMATION,1
INDUSTRIE,Souss-Massa,67,FONCTIONNAIRE,20470,11189,5087,36,43,1,0,0.46,AUCUNE,CONSOMMATION,1
COMMERCE,Laâyoune-Sakia El Hamra,32,FONCTIONNAIRE,4978,874,49885,12,9,1,5,0.17,CAUTION,PROFESSIONNEL,0
SERVICES,Guelmim-Oued Noun,22,INDEPENDANT,6825,2277,245501,84,3,4,3,0.419,AUCUNE,IMMOBILIER,1
AGRICULTURE,Guelmim-Oued Noun,45,SALARIE_CDI,9768,5629,62402,84,26,4,0,0.581,NANTISSEMENT,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,50,SALARIE_CDI,11317,6513,45050,84,27,2,2,0.621,AUCUNE,AUTO,1
SERVICES,Rabat-Salé-Kénitra,47,RETRAITE,7688,3600,29986,36,20,4,2,0.481,CAUTION,CONSOMMATION,1
TECH,Dakhla-Oued Ed-Dahab,34,INDEPENDANT,11617,2373,42743,12,10,0,0,0.249,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Casablanca-Settat,35,SALARIE_CDD,11578,4077,106510,84,16,4,0,0.415,CAUTION,IMMOBILIER,1
INDUSTRIE,Souss-Massa,76,SALARIE_CDI,4339,2736,28489,84,45,1,3,0.621,CAUTION,AUTO,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,36,SALARIE_CDI,11374,2312,83743,120,16,1,0,0.204,CAUTION,PROFESSIONNEL,1
SERVICES,Tanger-Tétouan-Al Hoceïma,67,SALARIE_CDI,13134,7233,50256,12,40,3,0,0.535,AUCUNE,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,34,SALARIE_CDD,9258,3323,113393,84,8,1,0,0.297,AUCUNE,IMMOBILIER,0
COMMERCE,Marrakech-Safi,24,FONCTIONNAIRE,3540,1849,77834,12,5,2,0,0.557,CAUTION,IMMOBILIER,0
INDUSTRIE,Oriental,21,SALARIE_CDI,7154,1267,41468,12,3,0,0,0.181,AUCUNE,PROFESSIONNEL,0
COMMERCE,Marrakech-Safi,33,FONCTIONNAIRE,9868,1531,39638,84,7,3,0,0.218,AUCUNE,PROFESSIONNEL,0
SERVICES,Laâyoune-Sakia El Hamra,71,RETRAITE,5489,1648,29165,84,45,2,2,0.398,AUCUNE,CONSOMMATION,1
COMMERCE,Drâa-Tafilalet,46,RETRAITE,12249,7167,71958,36,28,0,4,0.558,CAUTION,PROFESSIONNEL,0
TECH,Tanger-Tétouan-Al Hoceïma,61,INDEPENDANT,11252,5512,24025,84,39,1,0,0.469,CAUTION,PROFESSIONNEL,0
SERVICES,Casablanca-Settat,78,SALARIE_CDD,8609,3925,39325,36,45,4,2,0.425,AUCUNE,AUTO,1
SERVICES,Rabat-Salé-Kénitra,21,FONCTIONNAIRE,8167,5299,31717,12,0,2,1,0.721,NANTISSEMENT,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,24,FONCTIONNAIRE,8838,2860,14202,36,2,5,2,0.255,CAUTION,CONSOMMATION,1
TECH,Tanger-Tétouan-Al Hoceïma,75,SALARIE_CDI,8088,4652,42374,120,45,5,0,0.592,AUCUNE,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,53,INDEPENDANT,4544,931,12485,48,35,4,0,0.131,CAUTION,IMMOBILIER,1
COMMERCE,Rabat-Salé-Kénitra,56,FONCTIONNAIRE,6677,1572,26536,84,35,5,0,0.309,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Oriental,39,FONCTIONNAIRE,8372,3257,57931,60,18,4,1,0.425,NANTISSEMENT,PROFESSIONNEL,1
SERVICES,Tanger-Tétouan-Al Hoceïma,70,SALARIE_CDI,15342,9661,40873,60,45,2,0,0.598,CAUTION,AUTO,0
COMMERCE,Casablanca-Settat,58,SALARIE_CDI,11064,5551,40419,60,33,1,0,0.592,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,34,INDEPENDANT,15718,3242,19825,12,16,3,0,0.166,AUCUNE,PROFESSIONNEL,0
TECH,Drâa-Tafilalet,58,SALARIE_CDI,4306,2702,75675,12,38,2,2,0.634,CAUTION,CONSOMMATION,1
SERVICES,Dakhla-Oued Ed-Dahab,18,SALARIE_CDI,6903,3678,19530,12,0,5,1,0.423,NANTISSEMENT,IMMOBILIER,0
INDUSTRIE,Oriental,33,FONCTIONNAIRE,20604,10679,59543,24,9,0,0,0.55,CAUTION,CONSOMMATION,1
COMMERCE,Fès-Meknès,30,INDEPENDANT,5800,2469,90147,60,7,3,0,0.408,CAUTION,CONSOMMATION,1
COMMERCE,Laâyoune-Sakia El Hamra,67,SALARIE_CDI,5748,1993,12439,48,40,4,0,0.336,CAUTION,PROFESSIONNEL,1
COMMERCE,Marrakech-Safi,64,SALARIE_CDI,7170,1469,27322,36,42,3,0,0.157,CAUTION,CONSOMMATION,0
INDUSTRIE,Drâa-Tafilalet,23,INDEPENDANT,20093,9241,25620,120,5,4,0,0.405,NANTISSEMENT,PROFESSIONNEL,1
AGRICULTURE,Dakhla-Oued Ed-Dahab,75,RETRAITE,5990,1281,43959,48,45,0,0,0.187,HYPOTHEQUE,CONSOMMATION,0
TECH,Casablanca-Settat,69,SALARIE_CDD,10414,4634,18762,84,45,0,4,0.509,CAUTION,CONSOMMATION,0
TECH,Dakhla-Oued Ed-Dahab,45,INDEPENDANT,9666,4058,16062,60,20,0,0,0.44,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Marrakech-Safi,31,SALARIE_CDI,3402,1525,34978,24,11,4,2,0.405,AUCUNE,CONSOMMATION,1
COMMERCE,Souss-Massa,44,INDEPENDANT,8046,4533,24519,36,19,4,1,0.452,AUCUNE,CONSOMMATION,1
COMMERCE,Fès-Meknès,55,FONCTIONNAIRE,6318,2247,32788,36,37,3,0,0.454,HYPOTHEQUE,CONSOMMATION,0
INDUSTRIE,Rabat-Salé-Kénitra,57,INDEPENDANT,10994,4049,67839,84,36,2,0,0.245,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Drâa-Tafilalet,39,INDEPENDANT,17722,3190,11706,36,21,5,0,0.237,AUCUNE,IMMOBILIER,0
COMMERCE,Souss-Massa,24,SALARIE_CDI,6939,2039,33535,48,1,2,0,0.319,AUCUNE,IMMOBILIER,0
SERVICES,Oriental,56,SALARIE_CDI,6939,1322,24012,120,34,5,3,0.181,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Souss-Massa,62,INDEPENDANT,25160,5557,36922,36,42,0,4,0.192,AUCUNE,CONSOMMATION,0
TECH,Drâa-Tafilalet,34,SALARIE_CDI,5883,2138,24079,120,10,0,3,0.402,NANTISSEMENT,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,58,FONCTIONNAIRE,4428,1566,15897,24,40,4,0,0.408,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Oriental,53,SALARIE_CDD,15062,9307,47817,12,28,5,0,0.673,CAUTION,CONSOMMATION,0
COMMERCE,Rabat-Salé-Kénitra,49,SALARIE_CDI,7921,1661,252712,24,31,3,2,0.265,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Fès-Meknès,18,FONCTIONNAIRE,9205,2068,33846,48,0,0,0,0.149,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Souss-Massa,37,SALARIE_CDD,22119,11622,21845,12,17,2,0,0.491,CAUTION,IMMOBILIER,1
SERVICES,Rabat-Salé-Kénitra,41,INDEPENDANT,4310,695,21798,36,18,3,0,0.13,CAUTION,IMMOBILIER,1
AGRICULTURE,Marrakech-Safi,70,SALARIE_CDI,7421,3528,69864,36,44,4,0,0.478,AUCUNE,PROFESSIONNEL,0
TECH,Marrakech-Safi,70,SALARIE_CDI,4646,2433,19656,36,45,3,0,0.538,AUCUNE,CONSOMMATION,1
SERVICES,Dakhla-Oued Ed-Dahab,73,SALARIE_CDI,9422,4376,90196,24,45,3,0,0.518,CAUTION,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,47,SALARIE_CDI,6318,1857,11548,48,23,1,1,0.293,AUCUNE,PROFESSIONNEL,1
INDUSTRIE,Laâyoune-Sakia El Hamra,38,FONCTIONNAIRE,4780,965,41549,24,12,0,1,0.241,NANTISSEMENT,CONSOMMATION,1
INDUSTRIE,Oriental,49,SALARIE_CDD,11266,7290,57777,84,27,4,0,0.629,CAUTION,CONSOMMATION,1
SERVICES,Oriental,67,SALARIE_CDI,8141,4719,61927,60,42,0,0,0.683,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Dakhla-Oued Ed-Dahab,57,RETRAITE,4614,2378,58959,60,35,3,0,0.484,AUCUNE,PROFESSIONNEL,1
SERVICES,Drâa-Tafilalet,55,SALARIE_CDI,4743,1155,43749,84,33,2,0,0.211,CAUTION,CONSOMMATION,1
TECH,Marrakech-Safi,45,SALARIE_CDD,8897,3251,81431,36,20,3,1,0.379,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Fès-Meknès,61,INDEPENDANT,3821,1929,18148,24,36,3,0,0.563,CAUTION,CONSOMMATION,1
AGRICULTURE,Béni Mellal-Khénifra,72,FONCTIONNAIRE,8977,1802,23135,84,45,4,0,0.162,AUCUNE,CONSOMMATION,0
SERVICES,Casablanca-Settat,60,SALARIE_CDI,14806,9308,27388,120,41,0,1,0.614,AUCUNE,AUTO,1
INDUSTRIE,Rabat-Salé-Kénitra,43,RETRAITE,10940,6866,102586,36,24,2,0,0.61,AUCUNE,CONSOMMATION,0
COMMERCE,Casablanca-Settat,70,FONCTIONNAIRE,6121,1379,50329,84,43,1,0,0.174,HYPOTHEQUE,AUTO,0
SERVICES,Drâa-Tafilalet,77,SALARIE_CDI,9168,2279,58533,60,45,0,0,0.221,AUCUNE,CONSOMMATION,0
TECH,Souss-Massa,68,SALARIE_CDI,4614,1532,32037,12,42,5,0,0.298,AUCUNE,CONSOMMATION,0
SERVICES,Casablanca-Settat,73,RETRAITE,8616,3234,64329,24,45,1,0,0.442,CAUTION,CONSOMMATION,0
COMMERCE,Drâa-Tafilalet,34,SALARIE_CDI,6995,2591,12254,60,8,0,4,0.379,AUCUNE,IMMOBILIER,0
COMMERCE,Béni Mellal-Khénifra,44,INDEPENDANT,5076,2508,27276,36,20,1,1,0.469,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Drâa-Tafilalet,33,SALARIE_CDI,10729,4132,31189,24,8,4,0,0.479,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Rabat-Salé-Kénitra,41,SALARIE_CDI,3328,806,26055,48,18,4,1,0.333,AUCUNE,CONSOMMATION,0
SERVICES,Laâyoune-Sakia El Hamra,64,INDEPENDANT,4752,1333,29002,48,42,1,3,0.367,HYPOTHEQUE,AUTO,0
SERVICES,Marrakech-Safi,60,RETRAITE,5017,1784,53252,120,42,1,0,0.333,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Oriental,18,SALARIE_CDI,6456,2645,42910,120,0,2,0,0.462,CAUTION,IMMOBILIER,0
SERVICES,Oriental,65,SALARIE_CDI,14541,8892,83749,12,38,2,0,0.719,CAUTION,IMMOBILIER,0
AGRICULTURE,Marrakech-Safi,30,INDEPENDANT,11378,2254,8430,48,8,3,1,0.179,NANTISSEMENT,CONSOMMATION,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,29,FONCTIONNAIRE,8496,4691,102927,84,8,2,0,0.542,HYPOTHEQUE,PROFESSIONNEL,0
COMMERCE,Casablanca-Settat,52,SALARIE_CDD,8318,2541,23045,36,25,3,0,0.284,CAUTION,CONSOMMATION,0
INDUSTRIE,Souss-Massa,33,SALARIE_CDI,8060,4139,91234,48,15,5,1,0.525,AUCUNE,CONSOMMATION,1
SERVICES,Drâa-Tafilalet,78,RETRAITE,15023,4193,27112,60,45,3,0,0.37,AUCUNE,PROFESSIONNEL,0
COMMERCE,Fès-Meknès,27,SALARIE_CDI,3579,1226,47036,84,3,5,1,0.346,HYPOTHEQUE,IMMOBILIER,1
INDUSTRIE,Oriental,27,SALARIE_CDI,11467,4261,17090,120,3,1,1,0.344,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,65,SALARIE_CDI,6447,3387,15502,12,45,1,2,0.521,CAUTION,IMMOBILIER,1
INDUSTRIE,Marrakech-Safi,36,SALARIE_CDI,10161,2369,54546,48,10,2,2,0.292,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Fès-Meknès,63,FONCTIONNAIRE,10183,3292,5626,60,36,2,4,0.182,NANTISSEMENT,CONSOMMATION,1
AGRICULTURE,Rabat-Salé-Kénitra,60,SALARIE_CDI,11271,4669,15512,120,36,5,1,0.434,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Oriental,29,FONCTIONNAIRE,16525,7912,62111,36,5,1,2,0.468,HYPOTHEQUE,AUTO,1
COMMERCE,Marrakech-Safi,54,SALARIE_CDD,4372,822,27172,12,31,2,3,0.156,AUCUNE,IMMOBILIER,0
SERVICES,Laâyoune-Sakia El Hamra,51,SALARIE_CDI,12739,2514,19584,36,30,5,0,0.11,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Fès-Meknès,23,INDEPENDANT,7874,4010,105446,120,0,1,0,0.54,AUCUNE,AUTO,1
TECH,Béni Mellal-Khénifra,66,FONCTIONNAIRE,6585,2193,134870,12,45,3,2,0.318,CAUTION,PROFESSIONNEL,0
SERVICES,Marrakech-Safi,72,SALARIE_CDI,20235,4711,36326,120,45,2,0,0.256,AUCUNE,IMMOBILIER,0
COMMERCE,Fès-Meknès,77,SALARIE_CDI,11113,3129,88576,48,45,0,0,0.225,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Marrakech-Safi,23,FONCTIONNAIRE,6716,3016,105022,24,4,1,2,0.354,AUCUNE,AUTO,1
SERVICES,Oriental,29,INDEPENDANT,12466,7812,35903,36,7,0,0,0.566,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Casablanca-Settat,69,FONCTIONNAIRE,7937,4095,25373,36,45,5,0,0.505,HYPOTHEQUE,PROFESSIONNEL,1
INDUSTRIE,Casablanca-Settat,37,INDEPENDANT,6669,3658,38642,120,14,5,2,0.458,CAUTION,CONSOMMATION,1
TECH,Oriental,57,SALARIE_CDI,6169,2802,13119,84,34,1,0,0.461,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Oriental,39,RETRAITE,9293,3119,54044,84,20,2,0,0.419,AUCUNE,CONSOMMATION,0
AGRICULTURE,Fès-Meknès,31,SALARIE_CDI,6147,3879,28836,12,7,5,0,0.506,AUCUNE,CONSOMMATION,1
INDUSTRIE,Souss-Massa,57,SALARIE_CDI,8690,1657,37780,12,33,5,0,0.155,CAUTION,CONSOMMATION,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,30,FONCTIONNAIRE,12078,6695,37399,120,11,3,2,0.546,CAUTION,IMMOBILIER,0
TECH,Guelmim-Oued Noun,26,SALARIE_CDI,8516,2377,20065,36,5,3,2,0.269,CAUTION,PROFESSIONNEL,1
INDUSTRIE,Souss-Massa,51,SALARIE_CDD,19721,8952,35416,24,25,5,0,0.519,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Laâyoune-Sakia El Hamra,30,SALARIE_CDI,8151,5226,14023,24,12,3,0,0.62,AUCUNE,CONSOMMATION,0
AGRICULTURE,Marrakech-Safi,30,INDEPENDANT,14869,8492,25909,60,6,1,1,0.556,NANTISSEMENT,IMMOBILIER,0
COMMERCE,Marrakech-Safi,67,INDEPENDANT,12573,7230,16658,60,45,4,0,0.557,AUCUNE,CONSOMMATION,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,51,FONCTIONNAIRE,16097,9039,19660,24,26,5,2,0.586,AUCUNE,IMMOBILIER,1
COMMERCE,Casablanca-Settat,52,SALARIE_CDD,19682,7418,7478,60,34,4,4,0.459,AUCUNE,AUTO,1
TECH,Drâa-Tafilalet,27,SALARIE_CDI,3668,1271,26890,84,1,4,0,0.347,CAUTION,IMMOBILIER,1
TECH,Tanger-Tétouan-Al Hoceïma,28,INDEPENDANT,9130,3737,51015,36,1,3,0,0.486,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,42,FONCTIONNAIRE,7705,2254,41128,12,19,3,0,0.297,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Oriental,42,SALARIE_CDD,8520,3315,77554,24,20,0,0,0.326,CAUTION,IMMOBILIER,1
SERVICES,Casablanca-Settat,46,SALARIE_CDI,6776,1446,18641,120,21,0,1,0.269,CAUTION,IMMOBILIER,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,26,SALARIE_CDI,6345,3783,25976,48,0,4,0,0.595,CAUTION,CONSOMMATION,1
TECH,Dakhla-Oued Ed-Dahab,74,SALARIE_CDD,4940,2558,69009,84,45,5,0,0.589,HYPOTHEQUE,PROFESSIONNEL,1
INDUSTRIE,Béni Mellal-Khénifra,40,FONCTIONNAIRE,8466,1532,34180,24,16,4,0,0.222,AUCUNE,PROFESSIONNEL,0
SERVICES,Oriental,69,INDEPENDANT,12336,5921,41336,120,45,4,1,0.527,HYPOTHEQUE,PROFESSIONNEL,0
INDUSTRIE,Oriental,43,RETRAITE,6489,3435,159520,24,25,5,0,0.491,AUCUNE,IMMOBILIER,0
COMMERCE,Souss-Massa,47,SALARIE_CDD,6990,4060,30396,12,28,3,0,0.533,NANTISSEMENT,CONSOMMATION,1
TECH,Dakhla-Oued Ed-Dahab,25,SALARIE_CDD,5919,1862,25877,84,6,0,2,0.313,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,60,INDEPENDANT,5180,2411,18123,60,42,1,0,0.398,CAUTION,CONSOMMATION,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,21,SALARIE_CDI,7286,2099,29660,120,0,5,0,0.234,NANTISSEMENT,CONSOMMATION,0
TECH,Dakhla-Oued Ed-Dahab,65,FONCTIONNAIRE,9456,5432,74253,48,44,5,0,0.537,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Casablanca-Settat,73,FONCTIONNAIRE,14268,8384,54258,84,45,2,0,0.526,AUCUNE,IMMOBILIER,0
SERVICES,Fès-Meknès,40,SALARIE_CDI,4739,892,98993,48,17,0,4,0.183,CAUTION,PROFESSIONNEL,0
AGRICULTURE,Fès-Meknès,73,SALARIE_CDI,7993,2338,46751,12,45,1,0,0.294,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Drâa-Tafilalet,62,SALARIE_CDD,13769,2773,7566,36,42,4,0,0.175,CAUTION,IMMOBILIER,1
TECH,Béni Mellal-Khénifra,18,FONCTIONNAIRE,4767,1665,56408,120,0,4,0,0.287,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Souss-Massa,30,SALARIE_CDI,14331,2187,39065,120,9,5,0,0.111,AUCUNE,CONSOMMATION,1
COMMERCE,Fès-Meknès,58,SALARIE_CDI,6651,3601,36359,48,37,4,0,0.553,CAUTION,AUTO,1
COMMERCE,Oriental,62,SALARIE_CDI,11160,4082,85200,120,35,4,0,0.353,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Fès-Meknès,23,INDEPENDANT,7346,3064,29970,24,0,0,0,0.422,CAUTION,IMMOBILIER,1
INDUSTRIE,Souss-Massa,61,INDEPENDANT,9961,5193,54490,36,40,1,0,0.477,CAUTION,AUTO,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,69,INDEPENDANT,16715,8460,17091,84,42,1,0,0.527,AUCUNE,CONSOMMATION,0
COMMERCE,Laâyoune-Sakia El Hamra,23,INDEPENDANT,7672,2358,12547,12,0,3,0,0.346,AUCUNE,IMMOBILIER,1
SERVICES,Drâa-Tafilalet,73,SALARIE_CDI,12688,6869,23881,12,45,2,1,0.476,AUCUNE,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,51,SALARIE_CDI,9169,4313,29156,24,29,0,0,0.447,CAUTION,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,56,SALARIE_CDD,5689,1474,53296,12,34,5,0,0.176,CAUTION,IMMOBILIER,1
AGRICULTURE,Béni Mellal-Khénifra,21,FONCTIONNAIRE,7589,1249,16845,48,3,2,2,0.206,HYPOTHEQUE,AUTO,0
AGRICULTURE,Tanger-Tétouan-Al Hoceïma,56,INDEPENDANT,7379,3897,104284,84,35,0,3,0.639,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Oriental,46,SALARIE_CDI,4293,1000,18473,60,22,4,3,0.278,HYPOTHEQUE,AUTO,0
SERVICES,Marrakech-Safi,41,RETRAITE,9962,2055,34143,24,21,4,0,0.199,AUCUNE,IMMOBILIER,1
SERVICES,Casablanca-Settat,67,SALARIE_CDI,10895,3924,36612,84,43,5,0,0.368,NANTISSEMENT,AUTO,1
COMMERCE,Souss-Massa,33,FONCTIONNAIRE,11679,7134,44778,48,15,5,1,0.639,AUCUNE,CONSOMMATION,1
TECH,Guelmim-Oued Noun,21,INDEPENDANT,15420,7850,49789,36,1,2,3,0.446,NANTISSEMENT,IMMOBILIER,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,49,FONCTIONNAIRE,12447,6834,176921,48,29,5,2,0.552,AUCUNE,IMMOBILIER,1
SERVICES,Tanger-Tétouan-Al Hoceïma,64,INDEPENDANT,6177,1760,23817,24,40,4,0,0.284,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,26,INDEPENDANT,6798,3858,45203,120,1,1,2,0.556,CAUTION,CONSOMMATION,0
SERVICES,Dakhla-Oued Ed-Dahab,80,INDEPENDANT,11819,4228,34253,48,45,4,0,0.336,AUCUNE,PROFESSIONNEL,0
TECH,Souss-Massa,60,INDEPENDANT,9656,6177,72261,36,34,3,0,0.644,CAUTION,CONSOMMATION,0
COMMERCE,Casablanca-Settat,76,SALARIE_CDD,8038,3496,49722,60,45,1,3,0.384,AUCUNE,CONSOMMATION,0
COMMERCE,Drâa-Tafilalet,47,SALARIE_CDD,5466,2477,42355,36,27,2,4,0.415,AUCUNE,CONSOMMATION,1
INDUSTRIE,Drâa-Tafilalet,25,INDEPENDANT,6382,3877,12763,84,3,1,1,0.621,AUCUNE,CONSOMMATION,0
AGRICULTURE,Laâyoune-Sakia El Hamra,29,FONCTIONNAIRE,10533,6575,26445,48,11,3,0,0.622,HYPOTHEQUE,IMMOBILIER,0
INDUSTRIE,Dakhla-Oued Ed-Dahab,49,FONCTIONNAIRE,3368,535,18332,120,28,2,0,0.159,AUCUNE,CONSOMMATION,0
TECH,Béni Mellal-Khénifra,55,SALARIE_CDD,2827,753,26555,48,30,3,0,0.315,NANTISSEMENT,CONSOMMATION,0
AGRICULTURE,Rabat-Salé-Kénitra,64,SALARIE_CDI,11070,5060,20371,60,38,3,0,0.452,NANTISSEMENT,AUTO,0
COMMERCE,Marrakech-Safi,68,SALARIE_CDD,6374,968,25267,48,43,5,0,0.141,AUCUNE,CONSOMMATION,0
AGRICULTURE,Drâa-Tafilalet,66,RETRAITE,10005,3089,27236,120,44,2,0,0.341,CAUTION,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,55,SALARIE_CDI,16473,4088,27571,120,35,4,0,0.336,CAUTION,IMMOBILIER,1
COMMERCE,Souss-Massa,19,SALARIE_CDI,5136,2115,29556,48,0,2,3,0.388,AUCUNE,CONSOMMATION,1
SERVICES,Tanger-Tétouan-Al Hoceïma,51,SALARIE_CDI,3823,1715,18965,60,25,3,0,0.471,AUCUNE,IMMOBILIER,0
COMMERCE,Drâa-Tafilalet,69,SALARIE_CDD,7155,1749,37269,24,42,1,0,0.231,CAUTION,IMMOBILIER,0
SERVICES,Souss-Massa,71,SALARIE_CDI,5954,2490,19316,120,45,5,0,0.371,AUCUNE,CONSOMMATION,0
SERVICES,Rabat-Salé-Kénitra,70,FONCTIONNAIRE,8011,2791,23880,60,45,3,2,0.347,AUCUNE,CONSOMMATION,1
SERVICES,Dakhla-Oued Ed-Dahab,18,SALARIE_CDI,10323,6663,35062,36,0,5,0,0.676,AUCUNE,CONSOMMATION,1
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,45,SALARIE_CDI,9386,1713,5960,120,20,3,1,0.141,CAUTION,CONSOMMATION,1
COMMERCE,Fès-Meknès,56,SALARIE_CDI,8274,4719,207750,84,34,0,1,0.626,AUCUNE,IMMOBILIER,0
INDUSTRIE,Casablanca-Settat,33,SALARIE_CDI,13045,8476,52435,24,15,3,0,0.63,AUCUNE,CONSOMMATION,0
INDUSTRIE,Souss-Massa,43,INDEPENDANT,10958,4611,45428,120,24,3,1,0.399,AUCUNE,CONSOMMATION,1
AGRICULTURE,Dakhla-Oued Ed-Dahab,24,INDEPENDANT,7468,3661,25203,24,0,4,0,0.528,AUCUNE,CONSOMMATION,1
AGRICULTURE,Rabat-Salé-Kénitra,30,INDEPENDANT,10784,2307,38785,12,11,5,1,0.227,CAUTION,AUTO,0
SERVICES,Marrakech-Safi,18,INDEPENDANT,4042,1315,15570,36,0,0,3,0.289,CAUTION,PROFESSIONNEL,1
INDUSTRIE,Marrakech-Safi,79,SALARIE_CDI,13078,3148,51183,48,45,5,0,0.175,CAUTION,PROFESSIONNEL,1
COMMERCE,Rabat-Salé-Kénitra,72,INDEPENDANT,8184,3615,11174,12,45,3,0,0.527,HYPOTHEQUE,PROFESSIONNEL,0
TECH,Béni Mellal-Khénifra,43,SALARIE_CDD,4721,2932,14940,60,24,5,5,0.63,HYPOTHEQUE,AUTO,0
INDUSTRIE,Fès-Meknès,18,INDEPENDANT,6718,1107,22094,48,0,2,4,0.258,HYPOTHEQUE,CONSOMMATION,1
TECH,Guelmim-Oued Noun,39,FONCTIONNAIRE,12925,5134,104499,60,13,3,0,0.373,AUCUNE,AUTO,0
SERVICES,Tanger-Tétouan-Al Hoceïma,45,SALARIE_CDI,5736,2936,16793,48,26,1,0,0.528,NANTISSEMENT,IMMOBILIER,1
INDUSTRIE,Béni Mellal-Khénifra,28,SALARIE_CDI,9748,3561,45870,48,6,0,1,0.304,AUCUNE,CONSOMMATION,0
TECH,Rabat-Salé-Kénitra,59,SALARIE_CDI,12033,5047,8570,24,33,0,0,0.369,CAUTION,IMMOBILIER,0
COMMERCE,Fès-Meknès,80,SALARIE_CDD,8193,3085,36952,84,45,0,0,0.355,HYPOTHEQUE,PROFESSIONNEL,0
TECH,Tanger-Tétouan-Al Hoceïma,71,SALARIE_CDD,5491,2464,122348,60,45,2,1,0.532,NANTISSEMENT,PROFESSIONNEL,1
SERVICES,Casablanca-Settat,71,RETRAITE,7873,1451,51543,24,45,1,0,0.196,AUCUNE,IMMOBILIER,1
SERVICES,Souss-Massa,70,SALARIE_CDI,4297,1819,8509,12,45,1,2,0.478,CAUTION,IMMOBILIER,1
